season,season_type,player_display_name,player_position,team_abbr,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,player_first_name,player_last_name,player_jersey_number,player_short_name,rush_yards,rush_touchdowns
2024,REG,Joe Burrow,QB,CIN,652,4918,43,9,108.5,460,70.6,66,4.5,Joe,Burrow,9,J.Burrow,201,2
2024,REG,Jared Goff,QB,DET,539,4629,37,12,111.8,390,72.4,67.3,5.1,Jared,Goff,16,J.Goff,56,0
2024,REG,Baker Mayfield,QB,TB,570,4500,41,16,106.8,407,71.4,69.2,2.2,Baker,Mayfield,6,B.Mayfield,378,3
2024,REG,Geno Smith,QB,SEA,578,4320,21,15,93.2,407,70.4,66.6,3.9,Eugene,Smith,7,G.Smith,272,2
2024,REG,Sam Darnold,QB,MIN,545,4319,35,12,102.5,361,66.2,63.4,2.8,Sam,Darnold,14,S.Darnold,212,1
2024,REG,Lamar Jackson,QB,BAL,474,4172,41,4,119.6,316,66.7,66.9,-0.2,Lamar,Jackson,8,L.Jackson,915,4
2024,REG,Patrick Mahomes,QB,KC,581,3928,26,11,93.5,392,67.5,68.6,-1.2,Patrick,Mahomes,15,P.Mahomes,307,2
2024,REG,Aaron Rodgers,QB,NYJ,584,3897,28,11,90.5,368,63,67.7,-4.7,Aaron,Rodgers,8,A.Rodgers,107,0
2024,REG,Justin Herbert,QB,LAC,504,3870,23,3,101.7,332,65.9,63.5,2.4,Justin,Herbert,10,J.Herbert,306,2
2024,REG,Brock Purdy,QB,SF,455,3864,20,12,96.1,300,65.9,63,3,Brock,Purdy,13,B.Purdy,323,5
2024,REG,Kyler Murray,QB,ARI,541,3851,21,11,93.5,372,68.8,66.6,2.2,Kyler,Murray,1,K.Murray,572,5
2024,REG,Bo Nix,QB,DEN,567,3775,29,12,93.3,376,66.3,68.9,-2.6,Bo,Nix,10,B.Nix,430,4
2024,REG,Matthew Stafford,QB,LAR,517,3762,20,8,93.7,340,65.8,66.4,-0.6,John,Stafford,9,M.Stafford,41,0
2024,REG,Josh Allen,QB,BUF,483,3731,28,6,101.4,307,63.6,62.8,0.8,Joshua,Allen,17,J.Allen,531,12
2024,REG,C.J. Stroud,QB,HOU,532,3727,20,12,87,336,63.2,63,0.2,Coleridge,Stroud,7,C.Stroud,233,0
2024,REG,Jayden Daniels,QB,WAS,480,3568,25,9,100.1,331,69,68.3,0.7,Jayden,Daniels,5,J.Daniels,891,6
2024,REG,Caleb Williams,QB,CHI,562,3541,20,6,87.8,351,62.5,63.6,-1.1,Caleb,Williams,18,C.Williams,489,0
2024,REG,Kirk Cousins,QB,ATL,453,3508,18,16,88.6,303,66.9,63.4,3.4,Kirk,Cousins,18,K.Cousins,0,0
2024,REG,Jordan Love,QB,GB,425,3389,25,11,96.7,268,63.1,64.3,-1.2,Jordan,Love,10,J.Love,83,1
