season,season_type,player_display_name,player_position,team_abbr,player_first_name,player_last_name,player_jersey_number,player_short_name,efficiency,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,receptions,rec_yards,rec_touchdowns
2024,REG,Saquon Barkley,RB,PHI,Saquon,Barkley,26,S.Barkley,3.099,2.8,345,2005,5.8,13,1453,546,33,278,2
2024,REG,Derrick Henry,RB,BAL,Derrick,Henry,22,D.Henry,3.089,2.7,325,1921,5.9,16,1318.1,561.9,19,193,2
2024,REG,Bijan Robinson,RB,ATL,Bijan,Robinson,7,B.Robinson,4.15,2.9,304,1456,4.8,14,1227.2,198.8,61,431,1
2024,REG,Jonathan Taylor,RB,IND,Jonathan,Taylor,28,J.Taylor,3.368,2.7,303,1431,4.7,11,1227.4,193.6,18,136,1
2024,REG,Jahmyr Gibbs,RB,DET,Jahmyr,Gibbs,26,J.Gibbs,3.553,2.9,250,1412,5.6,16,1193.7,218.3,52,517,4
2024,REG,Josh Jacobs,RB,GB,Joshua,Jacobs,8,J.Jacobs,3.564,2.7,301,1329,4.4,15,1103.2,216.8,36,342,1
2024,REG,Kyren Williams,RB,LAR,Kyren,Williams,23,K.Williams,3.765,2.7,316,1299,4.1,14,1273.9,0.1,34,182,2
2024,REG,Chuba Hubbard,RB,CAR,Chuba,Hubbard,30,C.Hubbard,3.333,2.6,250,1195,4.8,10,904,270,43,171,1
2024,REG,Aaron Jones,RB,MIN,Aaron,Jones,33,A.Jones,3.872,2.7,255,1138,4.5,5,1061.5,42.5,51,408,2
2024,REG,Bucky Irving,RB,TB,Mar'Keise,Irving,7,B.Irving,3.354,2.8,207,1122,5.4,8,899.2,185.8,47,392,0
2024,REG,James Conner,RB,ARI,James,Conner,6,J.Conner,3.902,2.9,236,1094,4.6,8,964.2,109.8,47,414,1
2024,REG,Tony Pollard,RB,TEN,Tony,Pollard,20,T.Pollard,4.12,3,260,1079,4.2,5,1031.4,11.6,39,249,3
2024,REG,Rico Dowdle,RB,DAL,Rico,Dowdle,23,R.Dowdle,3.371,2.7,235,1079,4.6,2,981.4,59.6,41,238,0
2024,REG,Najee Harris,RB,PIT,Najee,Harris,22,N.Harris,4.247,2.8,263,1043,4,6,1015.8,-2.8,36,283,0
2024,REG,Joe Mixon,RB,HOU,Joe,Mixon,28,J.Mixon,4.194,2.8,245,1016,4.1,11,922.4,79.6,36,309,1
2024,REG,James Cook,RB,BUF,James,Cook,4,J.Cook,3.435,2.6,207,1009,4.9,16,834.6,167.4,32,258,2
2024,REG,Chase Brown,RB,CIN,Chase,Brown,30,C.Brown,3.724,2.6,229,990,4.3,7,890.1,66.9,54,360,4
2024,REG,D'Andre Swift,RB,CHI,D'Andre,Swift,4,D.Swift,4.501,2.9,253,959,3.8,6,1125.6,-173.6,42,386,0
2024,REG,Alvin Kamara,RB,NO,Alvin,Kamara,41,A.Kamara,4.411,2.8,228,950,4.2,6,964.6,-34.6,68,543,2
2024,REG,Devon Achane,RB,MIA,Devon,Achane,28,D.Achane,4.06,2.8,203,907,4.5,6,975.9,-95.9,78,592,6
2024,REG,J.K. Dobbins,RB,LAC,Jkaylin,Dobbins,27,J.Dobbins,3.617,2.8,195,905,4.6,9,767.2,114.8,32,153,0
2024,REG,Breece Hall,RB,NYJ,Breece,Hall,20,B.Hall,4.29,2.9,209,876,4.2,5,861.4,1.6,57,483,3
2024,REG,Tyrone Tracy,RB,NYG,Tyrone,Tracy,29,T.Tracy,3.634,2.7,192,839,4.4,5,843.2,-18.2,38,284,1
2024,REG,Rhamondre Stevenson,RB,NE,Rhamondre,Stevenson,38,R.Stevenson,4.01,2.8,207,801,3.9,7,713.7,35.3,33,168,1
2024,REG,Brian Robinson,RB,WAS,Brian,Robinson,8,B.Robinson,3.603,2.7,187,799,4.3,8,748.6,25.4,20,159,0
2024,REG,Jordan Mason,RB,SF,Jordan,Mason,24,J.Mason,3.56,2.8,153,789,5.2,3,568.4,206.6,11,91,0
2024,REG,David Montgomery,RB,DET,David,Montgomery,5,D.Montgomery,3.882,2.7,185,775,4.2,12,759.1,-4.1,36,341,0
2024,REG,Tank Bigsby,RB,JAX,Cartavious,Bigsby,4,T.Bigsby,3.455,2.7,168,766,4.6,7,637.8,124.2,7,54,0
2024,REG,Kareem Hunt,RB,KC,Kareem,Hunt,29,K.Hunt,3.841,2.7,200,728,3.6,7,819.4,-112.4,23,176,0
2024,REG,Tyler Allgeier,RB,ATL,Tyler,Allgeier,25,T.Allgeier,3.928,2.8,137,644,4.7,3,560,84,13,88,0
2024,REG,Rachaad White,RB,TB,Rachaad,White,1,R.White,3.971,2.6,144,613,4.3,3,564.5,48.5,51,393,6
2024,REG,Kenneth Walker,RB,SEA,Kenneth,Walker,9,K.Walker,4.76,3,153,573,3.7,7,583.6,-15.6,46,299,1
2024,REG,Zach Charbonnet,RB,SEA,Zach,Charbonnet,26,Z.Charbonnet,3.76,3,135,569,4.2,8,478.7,73.3,42,340,1
2024,REG,Jerome Ford,RB,CLE,Jerome,Ford,34,J.Ford,3.402,2.9,104,565,5.4,3,451.3,113.7,37,225,0
2024,REG,Travis Etienne,RB,JAX,Travis,Etienne,1,T.Etienne,4.25,2.7,150,558,3.7,2,595.2,-43.2,39,254,0
2024,REG,Antonio Gibson,RB,NE,Antonio,Gibson,4,A.Gibson,3.73,3,120,538,4.5,1,452.7,83.3,23,206,0
2024,REG,Javonte Williams,RB,DEN,Javonte,Williams,33,J.Williams,4.04,2.8,139,513,3.7,4,589.5,-83.5,52,346,0
2024,REG,Jaylen Warren,RB,PIT,Jaylen,Warren,30,J.Warren,3.729,2.8,120,511,4.3,1,524.5,-13.5,38,310,0
2024,REG,Emanuel Wilson,RB,GB,Emanuel,Wilson,31,E.Wilson,3.579,2.8,103,502,4.9,4,425.7,74.3,11,48,1
2024,REG,Jaleel McLaughlin,RB,DEN,Jaleel,McLaughlin,38,J.McLaughlin,4.361,3.1,113,496,4.4,1,536.8,-40.8,24,76,2
2024,REG,Cam Akers,RB,MIN,Cam,Akers,27,C.Akers,4.092,2.9,104,444,4.3,2,448.1,-6.1,14,68,3
2024,REG,Ray Davis,RB,BUF,Re'Mahn,Davis,22,R.Davis,4.236,2.9,113,442,3.9,3,433.2,8.8,17,189,3
2024,REG,Devin Singletary,RB,NYG,Devin,Singletary,26,D.Singletary,3.926,2.7,113,437,3.9,4,490.1,-54.1,21,119,0
2024,REG,Alexander Mattison,RB,LV,Alexander,Mattison,22,A.Mattison,4.249,2.7,132,420,3.2,4,497.3,-77.3,36,294,1
2024,REG,Gus Edwards,RB,LAC,Gus,Edwards,4,G.Edwards,4.1,2.8,101,365,3.6,4,415.2,-50.2,3,6,0
2024,REG,Braelon Allen,RB,NYJ,Braelon,Allen,0,B.Allen,3.902,2.6,92,334,3.6,2,385.7,-57.7,19,148,1
2024,REG,Nick Chubb,RB,CLE,Nicholas,Chubb,24,N.Chubb,4.585,2.8,102,332,3.3,3,352.9,-24.9,5,31,1
