season,season_type,player_display_name,player_position,team_abbr,player_first_name,player_last_name,player_jersey_number,player_short_name,efficiency,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,receptions,rec_yards,rec_touchdowns
2025,REG,James Cook,RB,BUF,James,Cook,4,J. Cook,5.25,309,1621,5.2,12,1263,358,33,291,2
2025,REG,Derrick Henry,RB,BAL,Derrick,Henry,22,D. Henry,5.2,307,1595,5.2,16,1255,340,15,150,0
2025,REG,Jonathan Taylor,RB,IND,Jonathan,Taylor,28,J. Taylor,4.91,323,1585,4.9,18,1390,195,46,378,2
2025,REG,Bijan Robinson,RB,ATL,Bijan,Robinson,7,B. Robinson,5.15,287,1478,5.1,7,1221,257,79,820,4
2025,REG,De'Von Achane,RB,MIA,De'Von,Achane,28,D. Achane,5.67,238,1350,5.7,8,1108,242,67,488,4
2025,REG,Kyren Williams,RB,LAR,Kyren,Williams,23,K. Williams,4.83,259,1252,4.8,10,1107,145,36,281,3
2025,REG,Jahmyr Gibbs,RB,DET,Jahmyr,Gibbs,0,J. Gibbs,5.03,243,1223,5,13,1056,167,77,616,5
2025,REG,Christian McCaffrey,RB,SFO,Christian,McCaffrey,23,C. McCaffrey,3.86,311,1202,3.9,10,1368,-166,102,924,7
2025,REG,Javonte Williams,RB,DAL,Javonte,Williams,33,J. Williams,4.77,252,1201,4.8,11,1045,156,35,137,2
2025,REG,Saquon Barkley,RB,PHI,Saquon,Barkley,26,S. Barkley,4.07,280,1140,4.1,7,1064,76,37,273,2
2025,REG,Travis Etienne,RB,JAX,Travis,Etienne,1,T. Etienne,4.26,260,1107,4.3,7,1063,44,36,292,6
2025,REG,D'Andre Swift,RB,CHI,D'Andre,Swift,4,D. Swift,4.87,223,1087,4.9,9,959,128,34,299,1
2025,REG,Tony Pollard,RB,TEN,Tony,Pollard,20,T. Pollard,4.47,242,1082,4.5,5,969,113,33,206,0
2025,REG,Rico Dowdle,RB,CAR,Rico,Dowdle,5,R. Dowdle,4.56,236,1076,4.6,6,930,146,39,297,1
2025,REG,Breece Hall,RB,NYJ,Breece,Hall,20,B. Hall,4.38,243,1065,4.4,4,923,142,36,350,1
2025,REG,Kenneth Walker III,RB,SEA,Kenneth,Walker III,9,K. Walker,4.65,221,1027,4.6,5,988,39,31,282,0
2025,REG,Chase Brown,RB,CIN,Chase,Brown,,C. Brown,4.39,232,1019,4.4,6,941,78,69,437,5
2025,REG,Ashton Jeanty,RB,LVR,Ashton,Jeanty,2,A. Jeanty,3.67,266,975,3.7,5,1026,-51,55,346,5
2025,REG,Jaylen Warren,RB,PIT,Jaylen,Warren,30,J. Warren,4.54,211,958,4.5,6,777,181,40,333,2
2025,REG,Josh Jacobs,RB,GNB,Josh,Jacobs,8,J. Jacobs,3.97,234,929,4,13,936,-7,36,282,1
2025,REG,TreVeyon Henderson,RB,NWE,TreVeyon,Henderson,,T. Henderson,5.06,180,911,5.1,9,762,149,35,221,1
2025,REG,Quinshon Judkins,RB,CLE,Quinshon,Judkins,10,Q. Judkins,3.6,230,827,3.6,7,758,69,26,171,0
2025,REG,Jacory Croskey-Merritt,RB,WAS,Jacory,Croskey-Merritt,,J. Croskey-Merritt,4.6,175,805,4.6,8,667,138,9,68,0
2025,REG,Kyle Monangai,RB,CHI,Kyle,Monangai,,K. Monangai,4.63,169,783,4.6,5,736,47,18,164,0
2025,REG,J.K. Dobbins,RB,DEN,J.K.,Dobbins,,J. Dobbins,5.05,153,772,5,4,611,161,11,37,0
2025,REG,Jordan Mason,RB,MIN,Jordan,Mason,,J. Mason,4.77,159,758,4.8,6,600,158,14,51,0
2025,REG,Blake Corum,RB,LAR,Blake,Corum,,B. Corum,5.14,145,746,5.1,6,623,123,8,36,0
