player_display_name,player_position,team_abbr,player_first_name,player_last_name,player_jersey_number,player_short_name,avg_cushion,avg_separation,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac
Ja'Marr Chase,WR,CIN,Ja'Marr,Chase,1,J.Chase,5.45,3.03,127,175,72.6,1708,17,6.25,3.93
Justin Jefferson,WR,MIN,Justin,Jefferson,18,J.Jefferson,5.76,3.08,103,154,66.9,1533,10,4.99,4.45
Brian Thomas,WR,JAX,Brian,Thomas,7,B.Thomas,6.16,3.04,87,133,65.4,1282,10,6.78,5.50
Drake London,WR,ATL,Drake,London,5,D.London,6.70,2.42,100,158,63.3,1271,9,3.51,2.76
Amon-Ra St. Brown,WR,DET,Amon-Ra,St. Brown,14,A.St. Brown,6.54,3.09,115,141,81.6,1263,12,3.71,3.21
Jerry Jeudy,WR,CLE,Jerry,Jeudy,3,J.Jeudy,5.97,2.77,90,145,62.1,1229,4,4.49,4.49
Malik Nabers,WR,NYG,Malik,Nabers,1,M.Nabers,6.12,2.81,109,170,64.1,1204,7,4.48,3.73
CeeDee Lamb,WR,DAL,Cedarian,Lamb,88,C.Lamb,5.83,2.89,101,152,66.4,1194,6,5.60,3.39
Ladd McConkey,WR,LAC,Andrew,McConkey,15,L.McConkey,5.95,3.10,82,112,73.2,1155,7,5.11,4.10
Jaxon Smith-Njigba,WR,SEA,Jaxon,Smith-Njigba,11,J.Smith-Njigba,6.23,3.30,100,137,73.0,1130,6,4.90,4.33
Garrett Wilson,WR,NYJ,Garrett,Wilson,5,G.Wilson,5.26,3.27,101,154,65.6,1104,7,5.02,4.75
Terry McLaurin,WR,WAS,Terry,McLaurin,17,T.McLaurin,6.54,2.73,82,117,70.1,1096,13,3.70,2.80
Courtland Sutton,WR,DEN,Courtland,Sutton,14,C.Sutton,5.98,2.47,81,135,60.0,1081,8,2.47,2.55
A.J. Brown,WR,PHI,Arthur,Brown,11,A.Brown,5.62,2.10,67,97,69.1,1079,7,5.40,3.00
Davante Adams,WR,NYJ,Davante,Adams,17,D.Adams,5.46,3.25,85,141,60.3,1063,8,5.77,4.75
Zay Flowers,WR,BAL,Xavien,Flowers,4,Z.Flowers,7.25,3.92,74,116,63.8,1059,4,6.23,4.60
Jakobi Meyers,WR,LV,Jakobi,Meyers,16,J.Meyers,6.45,2.73,87,129,67.4,1027,4,3.53,3.36
Calvin Ridley,WR,TEN,Calvin,Ridley,0,C.Ridley,6.01,2.74,64,120,53.3,1017,4,4.07,3.77
Nico Collins,WR,HOU,Nico,Collins,12,N.Collins,5.23,3.08,68,99,68.7,1006,7,5.64,5.07
