player_display_name,player_position,team_abbr,player_first_name,player_last_name,player_jersey_number,player_short_name,avg_cushion,avg_separation,receptions,targets,catch_percentage,yards,rec_touchdowns,yac,avg_yac,avg_expected_yac
Jaxon Smith-Njigba,WR,SEA,Jaxon,Smith-Njigba,11,J. Smith-Njigba,6.3,3,119,163,73,1793,10,528,4.8,4
Puka Nacua,WR,LAR,Puka,Nacua,12,P. Nacua,6,2.9,129,166,77.7,1715,10,666,5.6,4.3
George Pickens,WR,DAL,George,Pickens,3,G. Pickens,5.2,2.3,93,137,67.9,1429,9,479,5.3,3.1
Ja'Marr Chase,WR,CIN,Ja'Marr,Chase,1,J. Chase,5.7,3.2,125,185,67.6,1412,8,640,5.2,3.9
Amon-Ra St. Brown,WR,DET,Amon-Ra,St. Brown,14,A. St. Brown,6.1,3,117,172,68,1401,11,570,5.2,4.8
Zay Flowers,WR,BAL,Zay,Flowers,5,Z. Flowers,5.5,3.1,86,118,72.9,1211,5,458,4.7,4
Chris Olave,WR,NOR,Chris,Olave,12,C. Olave,6.5,3.6,100,156,64.1,1163,9,289,5.6,5.4
Nico Collins,WR,HOU,Nico,Collins,12,N. Collins,6.8,2.9,71,120,59.2,1117,6,324,3,3.6
Jameson Williams,WR,DET,Jameson,Williams,1,J. Williams,4.9,2.3,65,102,63.7,1117,7,441,4.9,3.2
CeeDee Lamb,WR,DAL,CeeDee,Lamb,88,C. Lamb,6.1,3.2,75,117,64.1,1077,3,323,6.8,5
Justin Jefferson,WR,MIN,Justin,Jefferson,18,J. Jefferson,6.1,2.8,84,141,59.6,1048,2,451,4.5,4
Courtland Sutton,WR,DEN,Courtland,Sutton,14,C. Sutton,5.8,3.2,74,124,59.7,1017,7,222,5.3,4.5
Wan'Dale Robinson,WR,NYG,Wan'Dale,Robinson,3,W. Robinson,5.3,2.3,92,140,65.7,1014,4,386,3.3,3.2
Tetairoa McMillan,WR,CAR,Tetairoa,McMillan,4,T. McMillan,6.7,3.4,70,122,57.4,1014,7,269,4.6,4.2
Stefon Diggs,WR,NWE,Stefon,Diggs,8,S. Diggs,5.8,3,85,102,83.3,1013,4,354,4.4,3.6
DeVonta Smith,WR,PHI,DeVonta,Smith,,D. Smith,5.7,2.7,77,113,68.1,1008,4,293,3.8,3.7
Michael Wilson,WR,ARI,Michael,Wilson,14,M. Wilson,6.4,2.8,78,126,61.9,1006,7,273,3.8,3.9
A.J. Brown,WR,PHI,A.J.,Brown,11,A. Brown,6,2.4,78,121,64.5,1003,7,268,3.8,3.2
Alec Pierce,WR,IND,Alec,Pierce,14,A. Pierce,6.3,2.1,47,84,56,1003,6,174,4.3,3
Emeka Egbuka,WR,TAM,Emeka,Egbuka,,E. Egbuka,5.7,2.2,63,127,49.6,938,6,335,3.4,2.4
Drake London,WR,ATL,Drake,London,5,D. London,6.2,2.6,68,112,60.7,919,7,229,5.4,4.7
Jaylen Waddle,WR,MIA,Jaylen,Waddle,17,J. Waddle,5.6,3.6,64,100,64,910,6,228,4.9,5.8
D.K. Metcalf,WR,PIT,D.K.,Metcalf,4,D. Metcalf,5.8,2.7,59,99,59.6,850,6,414,4,3.3
Parker Washington,WR,JAX,Parker,Washington,11,P. Washington,6.2,2.7,58,95,61.1,847,5,265,4.1,4
Tee Higgins,WR,CIN,Tee,Higgins,5,T. Higgins,6,3.6,59,98,60.2,846,11,166,4.9,4.8
Jakobi Meyers,WR,JAX,Jakobi,Meyers,,J. Meyers,5.6,3.2,75,110,68.2,835,3,282,6.1,5.7
Ladd McConkey,WR,LAC,Ladd,McConkey,15,L. McConkey,4.5,2.6,66,106,62.3,789,6,310,7.6,4.8
Davante Adams,WR,LAR,Davante,Adams,17,D. Adams,6.4,2.4,60,114,52.6,789,14,117,4.9,3.2
